system_name,discovery_date,ra_hrs,ra_mins,ra_secs,ra_coord,dec_degrees,dec_arcmin,dec_arcsec,dec_coord,lensgrade,number_images,theta_e,theta_e_err,z_lens,z_lens_err,z_source,z_source_err,vdisp,vdisp_err
FSC10214+4724,1995-08-01,10,24,34,156.14167,+47,09,11,+47.15306,A,2,0.8,0.1,NaN,NaN,2.286,0.001,NaN,NaN
SDSSJ1029+2623,2006-12-01,10,29,13,157.30809434,+26,23,17.9,26.38832296,A,3,15.2,0.5,0.58,NaN,2.197,0.0003,NaN,NaN
SDSSJ1029+0420,2008-08-00,10,29,22.94,157.34558,+04,20,1.8,+4.33384,A,2,1.05,0.03,0.10444,0.00002,0.615,0.001,208,9
SDSSJ1029+6115,2008-08-00,10,29,27.53,157.36471,+61,15,5.3,+61.25146,A,2,NaN,NaN,0.15736,0.00003,0.2512,0.0001,228,14
SDSSJ1032+5322,2008-08-00,10,32,35.84,158.14937,+53,22,34.9,+53.37634,A,2,1.06,0.03,0.13340,0.00004,0.329,0.001,293,15
B1030+074,1998-02-01,10,33,34.024,158.39177,+07,11,26.13,+7.19059,A,2,1.65,NaN,0.599,NaN,1.535,NaN,NaN,NaN
SDSSJ1037+3517,2011-04-29,10,37,45.03,159.43762,+35,17,30.98,+35.29194,A,2,NaN,NaN,0.12171,0.00003,0.448,0.001,220,12
ACSJ103751.40-124327.5,2012-06-15,10,37,51.40,159.464167,-12,43,27.5,-12.724306,B,1,1.48,0.01,NaN,NaN,NaN,NaN,NaN,NaN
CSWA2.2,2008-07-01,10,38,42.69,159.67786606,+48,49,20.26,48.82229409,,3,NaN,NaN,0.426,0.001,2.20,0.01,NaN,NaN
SDSSJ1038+4849,2008-07-01,10,38,43.58,159.6816,+48,49,17.76,48.8216,A,2,8.4,0.3,0.4256,0.0001,0.972,0.001,304,40
SDSSJ1039-0014,2012-01-00,10,39,41.16,159.9215,-00,14,24.5,-0.240139,C,1,NaN,NaN,0.38490,0.00007,0.9141,0.0001,139,36
ACSJ104701.80+171739.7,2012-06-15,10,47,01.80,161.7575,+17,17,39.7,+17.294361,B,2,0.46,0.01,NaN,NaN,NaN,NaN,NaN,NaN
CSWA33,2009-01-01,10,49,23.39,162.34745045,+35,44,40.97,35.74471377,,2,NaN,NaN,0.322,0.001,1.028,0.001,NaN,NaN
CSWA25,2009-05-01,10,49,43.14,162.42975402,+44,20,35.62,44.34322791,,1,7.2,0.1,0.2303,0.0002,0.389,0.001,805,1
SDSSJ1050+0017,2012-03-01,10,50,39.90,162.66625,+00,17,07.1,+0.285306,A,0,16.1,NaN,0.6,NaN,NaN,NaN,NaN,NaN
SDSSJ1054+2733,2010-04-01,10,54,40.83,163.67016587,+27,33,06.4,+27.55178785,A,2,0.598,NaN,NaN,NaN,1.452,0.002,NaN,NaN
RCS2J1055+5548,2012-03-01,10,55,04.59,163.769125,+55,48,23.3,+55.806472,A,0,10.0,NaN,0.466,NaN,1.250,NaN,NaN,NaN
SDSSJ1055+4628,2010-04-01,10,55,45.45,163.93938391,+46,28,39.4,+46.47763753,A,2,0.6,NaN,0.388,NaN,1.249,0.001,NaN,NaN
HERMESJ105751.1+573027,2011-05-01,10,57,51.1,164.462917,+57,30,27,+57.5075,A,4,4.10,0.02,NaN,NaN,2.9574,NaN,NaN,NaN
SDSSJ1100+5329,2008-08-00,11,00,24.39,165.10161,+53,29,13.9,+53.48719,A,2,1.52,0.01,0.31712,0.00007,0.858,0.001,187,23
HSTJ110307.14+532042.6,2009-05-01,11,03,7.14,165.77975,+53,20,42.6,+53.345167,A,2,1.24,0.06,0.41,0.03,1.12,0.37,NaN,NaN
SDSSJ1103+5322,2008-08-00,11,03,8.21,165.78421,+53,22,28.2,+53.3745,A,4,1.08,0.03,0.15824,0.00003,0.735,0.001,199,12
HE1104-1805,1993-10-01,11,06,33.45,166.6375,-18,21,24.20,-18.35667,A,2,1.6,0.1,0.729,0.001,2.319,0.001,NaN,NaN
SDSSJ1106+5228,2008-08-00,11,06,46.15,166.69229,+52,28,37.8,+52.47718,A,1,1.23,0.01,0.09551,0.00002,0.407,0.001,262,9
SDSSJ1110+6459,2013-12-00,11,10,17.69,167.573708,+64,59,48.2,+64.996722,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1110+6459,2012-03-01,11,10,17.70,167.57375,+64,59,47.8,+64.996611,A,0,8.4,NaN,0.659,NaN,NaN,NaN,NaN,NaN
SDSSJ111027.11+280838.4,2016-04-07,11,10,27.1106,167.612961,+28,08,38.4654,+28.144018,A,2,0.98,NaN,0.6073,NaN,2.3999,NaN,191,39
SDSSJ111040.42+364924.4,2016-04-07,11,10,40.4260,167.668442,+36,49,24.3997,+36.823444,A,4,1.16,NaN,0.7330,NaN,2.5024,NaN,531,165
ACSJ111052.23+284233.7,2012-06-15,11,10,52.23,167.717625,+28,42,33.7,+28.709361,C,2,0.79,0.01,NaN,NaN,NaN,NaN,NaN,NaN
CSWA16.2,2009-01-01,11,11,3.31,167.76378766,+53,08,51.87,53.14774276,,0,NaN,NaN,0.46,NaN,NaN,NaN,NaN,NaN
SDSSJ1111+5308,2009-01-01,11,11,03.68,167.765333,+53,08,54.91,53.14858718,,2,NaN,NaN,0.412,0.001,1.945,0.001,NaN,NaN
ACSJ111127.06+285000.2,2012-06-15,11,11,27.06,167.86275,+28,50,00.2,+28.833389,C,1,0.39,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1112+0826,2008-08-00,11,12,50.6,168.21084,+08,26,10.4,+8.43623,A,2,1.49,0.01,0.27289,0.00007,0.629,0.001,320,20
CSWA26,2009-05-01,11,13,10.65,168.294359,+23,56,39.52,23.94431091,,2,NaN,NaN,0.3361,0.0002,0.776,0.001,310,19
SDSSJ1115+1645,2013-12-00,11,15,04.39,168.768292,+16,45,38.6,+16.760722,,1,4.6,0.1,0.537,0.001,1.718,0.001,NaN,NaN
SDSSJ1115+5319,2012-03-01,11,15,14.85,168.811875,+53,19,54.6,+53.331833,A,0,21.9,NaN,0.466,NaN,NaN,NaN,NaN,NaN
SDSSJ1116+4118,2007-01-01,11,16,11,169.04583,+41,18,21.5,+41.30597,B,2,7.68,0.09,0.25,0.03,2.980,0.005,NaN,NaN
HE1113-0641,2008-01-01,11,16,23.5,169.097917,-06,57,39.0,-6.960833,A,4,0.332,0.001,0.7,0.3,1.235,0.001,180,NaN
SDSSJ111634.55+091503.0,2016-04-07,11,16,34.5593,169.143997,+09,15,03.0453,+9.250846,A,2,1.03,NaN,0.5501,NaN,2.4536,NaN,274,55
ACSJ111715.58+174500.0,2012-06-15,11,17,15.58,169.314917,+17,45,00.0,+17.75,B,2,0.95,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1117+4704,2011-04-29,11,17,35.37,169.39739,+47,04,7.43,+47.06873,A,4,0.77,0.02,0.16888,0.00003,0.405,0.001,188,10
PG1115+080,1980-06-01,11,18,17,169.57083,+07,45,57.7,+7.76603,A,4,3.62,0.01,0.31,0.01,1.72,0.01,281,25
ACSJ112310.02+141020.2,2012-06-15,11,23,10.02,170.79175,+14,10,20.2,+14.172278,C,1,1.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1128+2402,2012-05-01,11,28,18.49,172.07704362,+24,02,17.4,24.03818459,A,0,0.42,NaN,NaN,NaN,1.608,0.002,NaN,NaN
B1127+385,1999-03-01,11,30,00,172.5,+38,12,03.1,+38.20086,A,2,0.351,0.002,NaN,NaN,NaN,NaN,NaN,NaN
RXJ1131-1231,2003-07-01,11,31,51,172.964,-12,31,57,-12.533,A,4,1.834,0.002,0.295,0.001,0.658,0.001,NaN,NaN
MG1131+0456,1988-06-01,11,31,56,172.98333,+04,55,49.8,+4.9305,A,2,0.819,0.001,0.844,0.010,1.13,0.01,NaN,NaN
SDSSJ1131+1915,2010-04-01,11,31,57.72,172.99052035,+19,15,27.7,+19.25769689,A,2,0.68,NaN,NaN,NaN,2.915,0.001,NaN,NaN
CSWA12,2005-07-01,11,33,13.17,173.30488333,+50,08,40.12,50.14447842,,2,NaN,NaN,0.394,0.001,1.544,0.001,NaN,NaN
SDSSJ1134+6027,2008-08-00,11,34,5.89,173.52456,+60,27,13.5,+60.45375,A,2,1.10,0.01,0.15280,0.00003,0.474,0.001,239,11
CSWA18,2009-01-01,11,34,6.74,173.52808224,+25,33,35.17,25.55977002,A,2,NaN,NaN,0.07049,0.00001,NaN,NaN,229,5
SDSSJ1135+3720,2011-04-29,11,35,6.88,173.77867,+37,20,23.89,37.33997,A,2,0.71,0.07,0.16242,0.00004,0.402,0.001,213,15
CSWA7,2009-05-01,11,37,40.06,174.41690253,+49,36,35.54,49.60987175,,2,3.7,0.1,0.4483,0.0002,1.411,0.001,464,1
SDSSJ1138+0314,2008-02-01,11,38,03.73,174.51557327,+03,14,57.8,+3.24939292,A,4,0.664,NaN,0.445,0.001,2.4427,0.0014,NaN,NaN
CSWA17,2009-01-01,11,38,8.95,174.53730655,+27,54,30.71,27.9085314,A,2,6.2,0.1,0.447,0.001,0.909,0.001,NaN,NaN
SDSSJ114154.71+221628.8,2016-04-07,11,41,54.7119,175.477966,+22,16,28.8931,+22.274693,A,2,1.27,NaN,0.5858,NaN,2.7624,NaN,285,44
SDSSJ1142+1001,2008-08-00,11,42,57.35,175.73893,+10,01,11.8,+10.01996,A,2,0.98,0.01,0.22187,0.00006,0.504,0.001,221,22
SDSSJ1143-0144,2008-08-00,11,43,29.64,175.87349,-01,44,30.0,-1.74166,A,2,1.68,0.01,0.10605,0.00001,0.402,0.001,269,5
HSTJ114331.46-014508.0,2009-05-01,11,43,31.46,175.88107,-01,45,8.0,-1.752222,A,2,1.45,0.07,0.10361,0.00002,0.91,0.56,238,9
HATLASJ114637.9-001132,2012-02-08,11,46,37.9,176.657913,-00,11,32.0,-0.192222,A,0,NaN,NaN,1.06,0.16,3.2592,0.0010,NaN,NaN
SDSSJ114833.14+193003.2,2009-12-10,11,48,33.14,177.138083,+19,30,03.2,+19.500889,A,3,5.1,0.1,0.4457,0.0003,2.3811,0.0003,258,42
MACSJ1149.5+2223,2009-06-01,11,49,35.093,177.396221,+22,24,10.94,+22.403039,A,0,27,3,0.544,NaN,NaN,NaN,NaN,NaN
SDSSJ1150+1016,2006-07-01,11,50,17.02,177.57091,+10,16,52.97,+10.28138,B,1,1.31,0.01,0.28365,0.00009,0.801,0.001,251,31
ACSJ115135.05+004912.4,2012-06-15,11,51,35.05,177.896042,+00,49,12.4,+0.820111,C,1,1.87,0.01,NaN,NaN,NaN,NaN,NaN,NaN
ACSJ115138.59+004848.4,2012-06-15,11,51,38.59,177.910792,+00,48,48.4,+0.813444,C,1,1.96,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1152+3313,2012-03-01,11,52,00.15,178.000625,+33,13,42.1,+33.228361,A,0,8.7,NaN,0.362,NaN,2.491,NaN,NaN,NaN
SDSSJ1152+0930,2012-03-01,11,52,47.38,178.197417,+09,30,14.7,+9.504083,A,0,4.5,NaN,0.517,NaN,NaN,NaN,NaN,NaN
SDSSJ1153+4612,2008-08-00,11,53,10.79,178.29494,+46,12,5.3,+46.20147,A,2,1.05,0.01,0.17969,0.00004,0.875,0.001,226,15
NSCJ115347+425155,2008-02-01,11,53,49.49,178.456208,+42,50,43.1,+42.845306,A,0,NaN,NaN,0.327,NaN,NaN,NaN,NaN,NaN
SDSSJ1155+6346,2004-03-01,11,55,17.35,178.82228135,+63,46,22.0,+63.77279854,A,2,0.59,NaN,0.176,NaN,2.8890,0.0005,NaN,NaN
B1152+200,1999-06-01,11,55,18,178.825,+19,39,42.2,+19.66172,A,2,1.59,0.01,0.439,0.001,1.019,0.001,NaN,NaN
SDSSJ1159-0007,2011-12-15,11,59,44.63,179.93596,-00,07,28.2,-0.1245,A,2,0.683,0.001,0.5793,0.0001,1.346,0.001,165,41
SDSSJ120159.02+474323.2,2016-04-07,12,01,59.0259,180.495941,+47,43,23.1967,+47.72311,A,2,1.18,NaN,0.5628,NaN,2.1258,NaN,239,43
SDSSJ1203+2535,2011-04-29,12,03,56.33,180.98472,+25,35,49.13,+25.59698,A,4,0.87,0.06,0.10112,0.00002,0.856,0.001,156,7
SDSSJ1204+0358,2008-08-00,12,04,44.07,181.18363,+03,58,6.4,+3.96845,A,2,1.31,0.01,0.16437,0.00004,0.631,0.001,267,17
SDSSJ1205+4910,2006-02-01,12,05,40.44,181.41848,+49,10,29.38,+49.174828,A,2,1.2234,0.0005,0.21498,0.00005,0.481,0.001,296,14
CSWA6,2009-07-01,12,06,2.09,181.50871224,+51,42,29.54,51.70820438,,2,3.82,0.03,0.422,0.001,2.00,0.01,361,52
MACSJ1206.2-0847,2009-05-01,12,06,12.15,181.550625,-08,48,03.4,-8.800944,A,3,15,NaN,0.4385,NaN,NaN,NaN,NaN,NaN
SDSSJ1206+4332,2005-03-01,12,06,29.65,181.62352618,+43,32,17.6,+43.53821274,A,2,1.39,NaN,0.748,NaN,1.789,NaN,NaN,NaN
CSWA36,2010-12-01,12,07,35.91,181.89964171,+52,54,59.23,52.91645343,,2,9.4,0.1,0.2717,0.0002,1.9257,0.0002,NaN,NaN
CSWA8,2008-09-01,12,09,23.69,182.34870,+26,40,46.74,+26.67965,A,2,NaN,NaN,0.558,0.001,1.018,0.001,NaN,NaN
Q1208+101,1992-02-01,12,10,57,182.7375,+09,54,25.6,+9.90711,B,2,1.27,0.01,1.24,0.10,3.803,0.001,NaN,NaN
SDSSJ1213+6708,2008-08-01,12,13,40.6,183.41915,+67,08,28.93,+67.14137,A,2,1.416,0.005,0.12285,0.00002,0.6402,0.0001,278,10
HSTJ121346.57+670833.3,2009-05-01,12,13,46.57,183.444042,+67,08,33.3,+67.142583,A,2,0.65,0.03,0.33,0.08,1.44,0.57,NaN,NaN
SDSSJ1215+0047,2011-12-15,12,15,4.44,183.76849,+00,47,26.05,+0.79057,A,2,1.368,0.001,0.6423,0.0002,1.297,0.001,262,45
ACSJ121637.27-120042.2,2012-06-15,12,16,37.27,184.155292,-12,00,42.2,-12.011722,B,1,1.46,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1216+3529,2008-02-01,12,16,46.04,184.19187014,+35,29,41.5,+35.49486106,A,2,0.77,NaN,0.5,NaN,2.0166,0.0005,NaN,NaN
SDSSJ1217+3641,2008-02-01,12,17,31.94,184.383083,+36,41,12.3,+36.68675,A,0,NaN,NaN,0.364,NaN,NaN,NaN,NaN,NaN
SDSSJ1218+0830,2008-08-01,12,18,26.69,184.61121,+08,30,50.33,+8.51398,A,2,1.452,0.003,0.13502,0.00002,0.717,0.001,222,10
SDSSJ1221+3806,2011-12-15,12,21,51.92,185.46632,+38,06,10.55,+38.10293,A,2,0.699,0.001,0.5348,0.0002,1.284,0.001,187,48
ACSJ122332.64-123940.3,2012-06-15,12,23,32.64,185.886,-12,39,40.3,-12.661194,A,1,0.36,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1226-0006,2008-02-01,12,26,08.02,186.53343659,-00,06,02.2,-0.10063021,A,2,0.568,NaN,0.516,0.001,1.1229,0.0002,NaN,NaN
SDSSJ1226+2149,2012-03-01,12,26,51.11,186.712958,+21,49,52.3,+21.831194,A,0,14.0,NaN,0.435,NaN,1.605,NaN,NaN,NaN
CSWA38,2010-11-01,12,26,51.69,186.71535583,+21,52,25.45,21.87373676,A,1,NaN,NaN,0.42,0.01,2.9233,0.0001,NaN,NaN
SDSSJ122656.45+545739.0,2016-04-07,12,26,56.4587,186.735245,+54,57,39.0454,+54.960846,A,8,1.37,NaN,0.4980,NaN,2.7322,NaN,248,26
CSWA9,2009-01-01,12,27,18.74,186.82808228,+17,25,51.85,17.43107014,,3,NaN,NaN,0.37,0.01,NaN,NaN,NaN,NaN
SDSSJ1228+3743,2011-11-00,12,28,59.61,187.24837,+37,43,48.4,+37.73011,B,2,NaN,NaN,0.03993,0.00001,0.102,0.001,178,5
SDSSJ1234-0241,2011-12-15,12,34,27.99,188.61662,-02,41,29.62,-2.69156,A,2,0.533,0.001,0.4900,0.0001,1.016,0.001,122,31
HSTJ12368+6212,1999-05-01,12,36,49,189.20417,+62,12,22,+62.20611,C,2,0.583,0.004,0.953,NaN,NaN,NaN,NaN,NaN
SDSSJ1237+5533,2009-01-01,12,37,36.2,189.40082835,+55,33,42.88,55.56190979,,1,NaN,NaN,0.4099,0.0001,1.864,0.001,276,54
CSWA3,2008-07-01,12,40,32.28,190.1345157,+45,09,02.85,45.15079076,,1,2.9,0.1,0.274,0.001,0.725,0.001,NaN,NaN
CSWA5.2,2010-08-01,12,44,51.02,191.21257821,+01,06,44,1.11222194,,0,NaN,NaN,0.388,NaN,1.0686,NaN,NaN,NaN
CSWA5.1,2010-08-01,12,44,51.36,191.21400615,+01,06,42.96,1.11193257,,0,NaN,NaN,NaN,NaN,1.0686,NaN,NaN,NaN
SDSSJ1246+0440,2006-07-01,12,46,45.600,191.69001,+04,40,25.00,+4.67361,B,2,0.91,0.01,0.16861,0.00004,0.465,0.001,223,14
SDSSJ1250+0523,2006-02-01,12,50,28.25,192.61772,+05,23,49.13,+5.39698,A,8,1.1299,0.0007,0.23176,0.00004,0.795,0.001,246,15
SDSSJ1250-0135,2008-08-01,12,50,50.52,192.71050,-01,35,31.67,-1.59213,B,2,NaN,NaN,0.08707,0.00002,0.353,0.001,236,9
SDSSJ1251+2935,2007-10-01,12,51,07.57,192.78156013,+29,35,40.5,+29.59458506,A,4,0.88,NaN,0.410,NaN,0.80213,0.00008,NaN,NaN
SDSSJ1251-0208,2006-02-01,12,51,35.7,192.89877,-02,08,5.17,-2.13477,A,2,0.82,0.03,0.22432,0.00005,0.784,0.001,212,23
HSTJ12531-2914,1995-11-01,12,53,06,193.275,-29,14,30.000,-29.24167,A,4,0.64,NaN,0.69,NaN,NaN,NaN,NaN,NaN
SDSSJ1254+2235,2009-05-01,12,54,18.94,193.57895411,+22,35,36.5,+22.59348404,A,2,0.787,NaN,NaN,NaN,3.626,0.002,NaN,NaN
SDSSJ1258+1657,2009-05-01,12,58,19.24,194.58016909,+16,57,17.6,+16.95489576,A,2,0.565,NaN,0.505,NaN,2.701,0.002,NaN,NaN
SDSSJ1259+6134,2006-02-01,12,59,19.06,194.82942,+61,34,8.58,+61.56905,B,1,NaN,NaN,0.23324,0.00004,0.449,0.001,266,19
ACSJ130042.73+280523.3,2012-06-15,13,00,42.73,195.178042,+28,05,23.3,+28.089806,B,1,1.08,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1304+2001,2010-04-01,13,04,43.58,196.18160996,+20,01,04.2,+20.0178397,A,2,0.987,NaN,0.373,NaN,2.175,0.002,NaN,NaN
SDSSJ1306+0600,2009-11-01,13,06,13.66,196.55690,+06,00,22.14,+6.00615,A,2,NaN,NaN,0.17297,0.00004,0.472,0.001,257,17
Abell1689,1995-06-01,13,11,29.5,197.872917,-01,20,28,-1.341111,A,0,50,NaN,0.1867,NaN,NaN,NaN,NaN,NaN
SDSSJ1313+4615,2009-11-01,13,13,2.92,198.26216,+46,15,13.61,+46.25378,A,2,NaN,NaN,0.18479,0.00004,0.514,0.001,255,15
SDSSJ1313+0506,2008-08-01,13,13,26.7,198.36125,+05,06,57.24,+5.1159,B,2,0.53,0.23,0.14383,0.00003,0.339,0.001,252,16
SDSSJ1313+5151,2007-11-01,13,13,39.98,198.41660466,+51,51,28.4,+51.8579021,A,2,0.6,NaN,0.194,NaN,1.877,0.002,NaN,NaN
Abell1703,2009-04-01,13,15,00.7,198.752917,+51,49,10.0,+51.819444,A,0,27.4,NaN,0.277,NaN,2.627,NaN,NaN,NaN
SDSSJ1315+5439,2012-03-01,13,15,09.30,198.78875,+54,37,51.8,+54.631056,A,0,16.9,NaN,0.588,NaN,NaN,NaN,NaN,NaN
SDSSJ1318+3942,2010-12-01,13,18,11.51,199.54796,+39,42,26.96,39.70749,A,2,8.5,0.1,0.4751,0.0002,2.9437,0.0003,347,46
SDSSJ1318-0104,2011-12-15,13,18,29.39,199.62246,-01,04,21.65,-1.07268,A,2,0.679,0.001,0.6591,0.0002,1.396,0.001,177,27
SDSSJ1318-0313,2009-11-01,13,18,39.33,199.66386,-03,13,34.25,-3.22618,A,2,NaN,NaN,0.23965,0.00005,1.300,0.001,242,17
SDSSJ1319+1504,2009-11-01,13,19,32.49,199.88538,+15,04,26.04,+15.0739,A,2,NaN,NaN,0.15369,0.00004,0.606,0.001,240,15
SDSSJ1320+1644,2009-05-01,13,20,59.17,200.24655095,+16,44,02.5,16.73405341,B,0,4.3,NaN,0.899,NaN,1.502,0.002,NaN,NaN
